spectra noise
sn1997bp-19970414.30-fast 3.46059622581e+17
sn1997bp-19970429.26-fast 6.52748784744e+17
sn1997bp-19970508.15-fast 5.24020601045e+17
sn1997bp-19970512.22-fast 6.16324461972e+17
sn1997bp-19970530.18-fast 6.68840151526e+17
sn1997bp-19970604.20-fast 6.7850378822e+17
sn1997bp-19970610.20-fast 5.96961723574e+17
sn1997bq-19970408.14-mmt 6.47210688485e+17
sn1997bq-19970409.15-fast 8.66651676132e+17
sn1997bq-19970410.16-fast 8.36508482124e+17
sn1997bq-19970411.13-fast 5.85614829266e+17
sn1997bq-19970412.13-fast 2.2572480099e+17
