#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2013gc  ESO 430-20       2013 11 07  08 07.2 -28 03   43E  18S  16.7   CBET 3699       08 07 11.88 -28 03 26.3   CBET 3699        IIn   2013gc  Antezana, Pignata et al.
2013gb  UGC 4700         2013 10 31  08 58.9 +41 35   26E  12N  16.7   CBET 3698       08 58 52.52 +41 35 00.1   CBET 3698        Ia    2013gb  Wang, Gao
2013ga  UGC 11895        2013 10 19  22 04.4 +39 45   10W   4S  15.3   CBET 3704       22 04 21.53 +39 44 34.0   CBET 3704        Ia    2013ga  Rich, Harvey, Marion, Rosebush, Sawyer
2013fz  NGC 1578         2013 11 02  04 23.8 -51 36    2W  12N  15.1   CBET 3692       04 23 46.44 -51 35 46.3   CBET 3692        Ia    2013fz  Parker
2013fy  ESO 287-G40      2013 10 25  21 37.5 -47 02   11W  14N  16.5   CBET 3687       21 37 27.12 -47 01 54.8   CBET 3687        Ia    2013fy  Parker
2013fx  Anon.            2013 10 21  23 03.4 -69 11    4W   0N  17.9   CBET 3685       23 03 21.77 -69 11 18.5   CBET 3685        Ia    2013fx  Pignata et al. (CHASE)
2013fw  NGC 7042         2013 10 21  21 13.7 +13 35   11W   4N  17.1   CBET 3681       21 13 44.77 +13 34 33.3   CBET 3681        Ia    2013fw  Jin, Gao
2013fv  UGC 2789         2013 10 11  03 36.3 +67 34   14E  23N  18.2   CBET 3678       03 36 16.05 +67 34 15.7   CBET 3678        II    2013fv  Kim, Casper, Zheng et al. (LOSS)
2013fu  Anon.            2013 08 31  23 54.5 +29 26             14.1   CBET 3677       23 54 29.91 +29 25 47.6   GCN 15147        Ib/c  2013fu  Hagen et al. (Swift satellite)
2013ft  NGC 7732         2013 09 13  23 41.6 +03 44   20E   0N  18.6   CBET 3672       23 41 35.20 +03 43 30.5   CBET 3672        IIP   2013ft  Fuller, Zheng et al. (LOSS)
2013fs  NGC 7610         2013 10 07  23 19.7 +10 11   49E   2S  16.5   CBET 3671       23 19 44.67 +10 11 04.5   CBET 3671        IIn?  2013fs  Itagaki
2013fr  MCG +04-10-24    2013 09 28  04 08.0 +23 18    5W   5N  16.2   CBET 3666       04 08 02.35 +23 17 39.4   CBET 3666        IIn   2013fr  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013fq  Anon.            2013 09 15  19 59.1 -55 56   13E   5S  15.3   CBET 3665       19 59 07.95 -55 55 46.6   CBET 3665        IIb   2013fq  Parker
2013fp  IC 421           2013 09 19  05 32.1 -07 54   19W  42N  19.4   CBET 3664       05 32 07.25 -07 54 23.8   CBET 3664        IIP   2013fp  Zheng et al. (LOSS)
2013fo  Anon.            2013 09 24  01 20.5 +12 03    1W   5S  17.7   CBET 3663       01 20 31.94 +12 03 12.2   CBET 3663        Ia    2013fo  Zhang, Wang, Chen (THU-NAOC Transient Survey)
2013fn  IC 1342          2013 09 23  21 00.4 -14 30   26W   7S  18.5   CBET 3662       21 00 23.76 -14 29 52.2   CBET 3662        Ia    2013fn  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013fm  Anon.            2013 09 06  07 31.1 +57 56    7W  11S  17.0   CBET 3661       07 31 05.40 +57 56 10.8   CBET 3661        Ia    2013fm  Balanutsa (MASTER)
2013fl  UGC 10908        2013 09 22  17 33.7 +50 22   17E   1N  17.6   CBET 3660       17 33 39.55 +50 22 25.5   CBET 3660        IIP   2013fl  Boles
2013fk  UGC 1442         2013 09 03  01 57.6 -02 06    4W   9N  18.5   CBET 3657       01 57 33.55 -02 05 57.2   CBET 3657        Ia    2013fk  Ciabattari, Mazzoni, Simonetti
2013fj  Anon.            2013 09 07  22 15.5 +15 34    3W   5S  16.7   CBET 3654       22 15 28.51 +15 34 04.1   CBET 3654        Ia    2013fj  Ciabattari, Mazzoni, Carballo
2013fi  Anon.            2013 08 31  03 04.6 +42 14    3E   2N  18.1   CBET 3653       03 04 38.56 +42 13 49.4   CBET 3653        Ia    2013fi  Xu, Gao
2013fh  ESO 550-G26      2013 08 30  04 21.6 -17 56   21E   2N  18.5   CBET 3651       04 21 38.20 -17 55 41.4   CBET 3651        Ia    2013fh  Parker
2013fg  NGC 2578         2013 09 02  08 21.4 -13 19   27W  27N  15.4   CBET 3648       08 21 22.44 -13 18 37.0   CBET 3648        Ia    2013fg  Parker
2013ff  NGC 2748         2013 08 31  09 13.6 +76 28   19W  21S  16.0   CBET 3656       09 13 38.88 +76 28 10.8   CBET 3656        Ic    2013ff  Belligoli, Castellani
2013fe  IC 1875          2013 08 13  03 03.9 -39 24             14.4   CBET 3646       03 03 53.25 -39 24 20.2   CBET 3646        Ia    2013fe  Antezana, Pignata et al. (CHASE)
2013fd  ESO 353-G14      2013 08 27  01 34.0 -34 24    5E  25S  18.5   CBET 3645       01 34 00.66 -34 23 40.4   CBET 3645        IIp   2013fd  Parker
2013fc  ESO 154-10       2013 08 20  02 45.1 -55 44    2E   0S  15.4   CBET 3644       02 45 08.96 -55 44 27.3   CBET 3644        IIn   2013fc  Pignata et al. (CHASE)
2013fb  IC 221           2013 08 27  02 22.7 +28 16   16E  36N  16.0   CBET 3643       02 22 42.07 +28 16 01.2   CBET 3643        Ia    2013fb  Tsuboi
2013fa  NGC 6956         2013 08 25  20 43.9 +12 31    2W   8N  16.2   CBET 3641       20 43 53.57 +12 30 51.7   CBET 3641        Ia    2013fa  Itagaki
2013ez  Anon.            2013 02 15  02 54.0 +13 24             14.2   CBET 3637       02 54 00.7  +13 23 43.7   CBET 3637        Ic    2013ez  D'Elia et al. (Swift satellite)
2013ey  Anon.            2013 08 11  20 58.1 +11 03    2W   3S  16.3   CBET 3636       20 58 03.73 +11 03 10.8   CBET 3636        Ia    2013ey  Ciabattari, Mazzoni, Rossi
2013ex  NGC 1954         2013 08 19  05 32.8 -14 03   25W  61N  15.6   CBET 3635       05 32 46.62 -14 02 45.4   CBET 3635        Ia    2013ex  Brimacombe, Prieto et al. (All-Sky Automated Survey for SuperNovae)
2013ew  Anon.            2013 08 13  22 10.2 +11 17   25E  20N  18.7   CBET 3629       22 10 09.69 +11 16 47.9   CBET 3629        Ia-p  2013ew  Hurtado (La Sagra Sky Survey)
2013ev  IC 1296          2013 08 11  18 53.3 +33 04    5W   8S  17.2   CBET 3627       18 53 18.45 +33 03 52.7   CBET 3626        II    2013ev  Ciabattari, Mazzoni, Petroni
2013eu  UGC 5609         2013 08 11  10 24.4 +78 36    3W   9S  15.6   CBET 3625       10 24 22.31 +78 36 23.5   CBET 3625        Ia    2013eu  Cortini
2013et  UGC 1723         2013 08 02  02 14.3 +07 35    4W   6S  18.4   CBET 3624       02 14 17.05 +07 35 11.8   CBET 3624        Ia    2013et  Ciabattari, Mazzoni, Donati
2013es  Anon.            2013 08 01  14 10.8 +56 25    2W  15S  18.0   CBET 3620       14 10 50.17 +55 25 24.0   CBET 3620        IIP   2013es  Xu, Gao (Xingming Sky Survey)
2013er  IC 850           2013 07 29  13 07.8 -00 52   13E   5N  17.4   CBET 3619       13 07 51.09 -00 52 00.4   CBET 3619        Ia    2013er  Parker
2013eq  Anon.            2013 07 30  17 33.3 +36 29    6E  18N  18.5   CBET 3616       17 33 15.73 +36 28 35.2   CBET 3616        IIP   2013eq  Mikuz
2013ep  Anon.            2013 07 29  22 58.5 +40 26   10E   4S  18.4   CBET 3615       22 58 30.35 +40 25 44.5   CBET 3615        IIb   2013ep  Ciabattari
2013eo  Anon.            2013 07 31  20 07.0 -56 26   13E  13S  17.4   CBET 3614       20 06 57.88 -56 25 31.2   CBET 3614        Ia    2013eo  Marples, Bock
2013en  UGC 11369        2013 07 30  18 51.6 +23 38    6W  17N  16.5   CBET 3613       18 51 37.35 +23 38 20.6   CBET 3613        Ia-p  2013en  Ciabattari, Mazzoni, Rossi
2013em  Anon.            2013 07 27  23 02.4 +32 32    8W   6S  16.7   CBET 3612       23 02 26.62 +32 31 31.2   CBET 3612        Ia    2013em  Ciabattari, Mazzoni, Petroni
2013el  NGC 1285         2013 07 11  03 17.9 -07 18   14W  10S  15.5   CBET 3611       03 17 52.45 -07 18 02.1   CBET 3611        Ib    2013el  Parker
2013ek  NGC 6984         2013 07 24  20 57.9 -51 52    1W  10S  16.9   CBET 3607       20 57 53.90 -51 52 24.5   CBET 3607        Ib/c  2013ek  Parker
2013ej  NGC 628          2013 07 25  01 36.8 +15 46   92E 135S  13.5   CBET 3606       01 36 48.16 +15 45 31.0   CBET 3606        II    2013ej  Kim, Zheng et al. (LOSS)
2013ei  NGC 7068         2013 06 26  21 26.5 +12 11   14W   6S  16.0   CBET 3602       21 26 31.93 +12 10 49.4   CBET 3602        Ia    2013ei  Kochanek, Prieto et al. (ASAS-SN)
2013eh  Anon.            2013 07 19  16 16.2 +38 33    5W   8N  16.6   CBET 3601       16 16 09.19 +38 32 53.0   CBET 3601        Ia    2013eh  Zhang, Wang, Chen (THU-NAOC Transient Survey)
2013eg  ESO 501-84       2013 06 10  10 43.5 -25 52    1W   9N  17.5   CBET 3600       10 43 28.19 -25 51 52.1   CBET 3600        Ia    2013eg  Hamuy, Pignata et al. (CHASE)
2013ef  UGC 1395         2013 07 04  01 55.3 +06 37   19W   7S  16.1   CBET 3599       01 55 20.71 +06 36 35.3   CBET 3599        Ia    2013ef  Stanek, Prieto et al. (ASAS-SN)
2013ee  NGC 3079         2013 07 13  10 01.9 +55 42   14W  56N  15.5   CBET 3597       10 01 56.83 +55 41 44.0   CBET 3597        II    2013ee  Cortini
2013ed  Anon.            2013 07 18  16 16.4 +51 53    5E   8S  16.7   CBET 3596       16 16 24.29 +51 53 05.7   CBET 3596        Ia    2013ed  Boles
2013ec  Anon.            2013 07 02  16 27.8 +40 28    2E   1N  19.0   CBET 3595       16 27 50.26 +40 28 21.3   CBET 3595        Ia    2013ec  Zhou, Wang, Zhang (THU-NAOC Transient Survey)
2013eb  UGC 9761         2013 07 13  15 11.2 +46 09   15E   8N  17.8   CBET 3594       15 11 14.85 +46 09 11.5   CBET 3594        Ia    2013eb  Ciabattari et al.
2013ea  Anon.            2013 07 09  01 20.3 +30 11             16.9   CBET 3593       01 20 16.45 +30 10 55.7   CBET 3593        Ia    2013ea  Shurpakov (MASTER)
2013dz  Anon.            2013 07 11  02 58.4 +36 17    3W   2N  16.2   CBET 3589       02 58 24.40 +36 17 03.5   CBET 3589        IIn   2013dz  Dhungana et al. (ROTSE)
2013dy  NGC 7250         2013 07 10  22 18.3 +40 34    2W  25N  17.0   CBET 3588       22 18 17.60 +40 34 09.6   CBET 3588        Ia    2013dy  Casper, Zheng et al. (LOSS)
2013dx  Anon.            2013 07 02  14 29.2 +15 46             17.4   CBET 3587       14 29 14.78 +15 46 26.4   CBET 3587        Ic    2013dx  FERMI satellite
2013dw  Anon.            2013 07 02  16 14.0 +42 42    2E   0N  18.8   CBET 3585       16 13 58.84 +42 41 59.0   CBET 3585        IIn   2013dw  Zhou, Wang, Zhang (THU-NAOC Transient Survey)
2013dv  Anon.            2013 07 02  17 03.2 +27 27         8N  17.1   CBET 3580       17 03 10.73 +27 26 53.9   CBET 3580        Ia    2013dv  Hurtado (La Sagra Sky Survey)
2013du  Anon.            2013 06 23  01 24.2 -34 44    2E   1S  18.5   CBET 3579       01 24 14.25 -34 43 36.4   CBET 3579        IIP   2013du  Parker
2013dt  NGC 7367         2013 06 30  22 44.6 +03 39   18E   9N  16.8   CBET 3578       22 44 35.60 +03 38 38.0   CBET 3578        Ia    2013dt  Parker
2013ds  Anon.            2013 07 01  16 11.5 +57 23   15W   5S  18.0   CBET 3577       16 11 29.58 +57 22 51.7   CBET 3577        II    2013ds  Ciabattari, Mazzoni, Donati
2013dr  Anon.            2013 07 01  17 19.5 +47 42    9W   5S  16.3   CBET 3576       17 19 30.26 +47 42 04.6   CBET 3576        Ia    2013dr  Ciabattari, Mazzoni, Rossi, Petroni
2013dq  UGC 525          2013 06 27  00 51.6 +29 43    4E  16N  16.8   CBET 3573       00 51 34.84 +29 43 14.9   CBET 3573        Ia    2013dq  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013dp  UGC 10313        2013 06 10  16 17.5 +31 35   12W  18N  16.3   CBET 3572       16 17 32.31 +31 34 57.2   CBET 3572        Ia    2013dp  Drake et al. (Catalina Real-time Transient Survey)
2013do  UGC 12137        2013 06 16  22 39.8 +38 13   14E  11S  17.0   CBET 3571       22 39 50.67 +38 12 44.3   CBET 3571        IIP   2013do  Wang, Gao (Xingming Sky Survey)
2013dn  Anon.            2013 06 14  23 37.8 +14 43    1E  13N  16.2   CBET 3570       23 37 45.74 +14 42 37.1   CBET 3570        IIn   2013dn  Drake et al. (Catalina Real-time Transient Survey)
2013dm  ESO 445-G56      2013 05 02  13 50.9 -30 17   12W  12N  18.4   CBET 3569       13 50 52.90 -30 17 09.4   CBET 3569        Ia    2013dm  Conseil (TAROT)
2013dl  Anon.            2013 06 17  01 18.7 -07 27   16W  16N  15.2   CBET 3568       01 18 41.76 -07 26 39.7   CBET 3568        Ia    2013dl  Kochanek, Prieto et al. (All-Sky Automated Survey for SuperNovae)
2013dk  NGC 4038         2013 06 22  12 01.9 -18 52             15.8   CBET 3566       12 01 52.72 -18 52 18.3   CBET 3566        Ic    2013dk  Carrasco, Pignata et al. (CHASE)
2013dj  UGC 10535        2013 06 10  16 46.0 +06 28    6E  14N  16.6   CBET 3563       16 46 01.94 +06 27 59.3   CBET 3563        Ia    2013dj  Tyurina (MASTER)
2013di  NGC 7321         2013 06 12  22 36.5 +21 37    8W  24S  18.2   CBET 3562       22 36 27.46 +21 36 54.3   CBET 3562        Ia    2013di  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013dh  NGC 5936         2013 06 12  15 30.0 +12 59    4E   9N  18.0   CBET 3561       15 30 01.09 +12 59 12.9   CBET 3561        Ia    2013dh  Kumar, Fuller, Zheng et al. (LOSS)
2013dg  Anon.            2013 05 17  13 18.7 -07 05             19.5   CBET 3560       13 18 41.35 -07 04 43.0   CBET 3560        Ic-p  2013dg  Drake et al. (Catalina Real-time Transient Survey)
2013df  NGC 4414         2013 06 07  12 26.5 +31 14   32E  14N  14.4   CBET 3557       12 26 29.33 +31 13 38.3   CBET 3557        II    2013df  Ciabattari, Mazzoni, Donati, Petroni
2013de  Anon.            2013 05 31  10 02.1 +11 57    8W   7S  18.0   CBET 3555       10 02 07.97 +11 57 05.2   CBET 3555        Ia    2013de  Drake et al. (Catalina Real-time Transient Survey)
2013dd  Anon.            2013 05 27  15 36.1 +13 57    9E   4N  17.5   CBET 3552       15 36 05.15 +13 57 06.9   CBET 3552        Ia    2013dd  Shumkov (MASTER)
2013dc  NGC 6240         2013 04 11  16 53.0 +02 24        25N  18.7   CBET 3551       16 52 58.97 +02 24 25.5   CBET 3551        IIP   2013dc  Block
2013db  NGC 3808         2013 05 29  11 40.7 +22 26    4W   9N  17.1   CBET 3550       11 40 43.99 +22 25 54.9   CBET 3550        IIP   2013db  Gagliano, Newton, Puckett
2013da  Anon.            2013 06 05  13 45.6 -07 20    3W   1N  16.5   CBET 3549       13 45 36.21 -07 19 32.6   CBET 3549        Ia    2013da  Prieto et al. (All-Sky Automated Survey for SuperNovae)
2013cz  IC 4892          2013 05 07  19 49.5 -70 13    4E  19N  17.9   CBET 3547       19 49 32.51 -70 13 20.0   CBET 3547        II    2013cz  Parker
2013cy  ESO 532-25       2013 05 31  22 10.6 -22 40    3E  26S  16.8   CBET 3546       22 10 34.21 -22 39 48.0   CBET 3546        Ia    2013cy  Monard
2013cx  Anon.            2013 05 21  17 04.3 +41 31    1E   1N  17.7   CBET 3545       17 04 16.05 +41 30 37.6   CBET 3545        Ia    2013cx  Wang et al. (THU-NAOC Transient Survey)
2013cw  NGC 6211         2013 05 29  16 41.5 +57 47    4W   3N  16.9   CBET 3544       16 41 27.17 +57 47 05.0   CBET 3544        Ia    2013cw  Cox, Newton, Puckett
2013cv  Anon.            2013 05 20  16 22.7 +18 58    2E   2N  16.5   CBET 3543       16 22 43.16 +18 57 35.6   CBET 3543        Ia-p  2013cv  Zhou, Wang et al. (THU-NAOC Transient Survey)
2013cu  UGC 9379         2013 05 05  14 34.0 +40 14    4E  20S  15.7   CBET 3540       14 33 58.97 +40 14 20.7   CBET 3540        II?   2013cu  Shurpakov (MASTER)
2013ct  NGC 428          2013 05 10  01 12.9 +00 59   11W   8N  12.2   CBET 3539       01 12 54.92 +00 58 45.7   CBET 3539        Ia    2013ct  Parker
2013cs  ESO 576-17       2013 05 14  13 15.2 -17 58   29E   5N  14.7   CBET 3533       13 15 14.81 -17 57 55.6   CBET 3533        Ia    2013cs  Howerton, McNaught, Drake et al. (Catalina Real-time Transient Survey)
