Name RA DEC z_helio z_CMB Host Morphology Type Sample xf yf Name_upper Name_alt Flag
sn2006X 185.72495833333332 15.809194444444445 0.0052 0.0062848611009711074 "NGC 4321" SAB(s)bc normal CSP "" "" SN2006X sn2006X 10
sn2006ax 171.01441666666665 -12.291444444444444 0.0167 0.017930567598851 "NGC 3663" "SA(rs)bc pec" normal CSP "" "" SN2006AX sn2006ax 10
sn2006bd 174.6185833333333 20.52622222222222 0.0257 0.026789964586953974 "UGC 6609" E 91bg-like CSP "" "" SN2006BD sn2006bd 10
sn2006bh 340.0670833333333 -66.48508333333334 0.0109 0.010552568381061674 "NGC 7329" SB(r)b normal CSP "" "" SN2006BH sn2006bh 10
sn2006br 202.5075 13.415777777777778 0.0246 0.025549830070824776 "NGC 5185" Sb normal CSP "" "" SN2006BR sn2006br 10
sn2006bt 239.1272083333333 20.045916666666667 0.0322 0.03252191397956671 "CGCG 108-013^d" SA0/a 06bt-like CSP "" "" SN2006BT sn2006bt 10
sn2006dd 50.67341666666666 -37.203611111111115 0.0059 0.005541660828315746 "NGC 1316 (Fornax A)" "SAB0^0(s) pec" normal CSP "" "" SN2006DD sn2006dd 10
sn2006ef 31.08129166666667 -8.728388888888889 0.0179 0.01703588593307904 "NGC 809" (R)S0 normal CSP "" "" SN2006EF sn2006ef 10
sn2006ej 9.749041666666665 -9.015722222222223 0.0205 0.019396674674961246 "NGC 191A" "S0 pec sp" normal CSP "" "" SN2006EJ sn2006ej 10
sn2006eq 322.15470833333325 1.2281944444444446 0.0495 0.048391662641509625 "2MASX J21283758+0113490" cdots normal CSP "" "" SN2006EQ sn2006eq 10
sn2006et 10.690916666666665 -23.558444444444444 0.0226 0.021621229787917234 "NGC 232" "SB(r)a? pec" normal CSP "" "" SN2006ET sn2006et 10
sn2006ev 322.74691666666666 13.989222222222221 0.0287 0.0275857315692959 "UGC 11758" Sbc normal CSP "" "" SN2006EV sn2006ev 10
sn2006fw 26.79308333333333 -0.147 0.0835 0.08254284248374927 "GALEXASC J014710.29-000848.3" cdots normal CSP "" "" SN2006FW sn2006fw 10
sn2006gj 49.39916666666666 -1.6917222222222221 0.0284 0.02781646115407941 "UGC 2650" Sab normal CSP "" "" SN2006GJ sn2006gj 10
sn2006gt 14.072083333333332 -1.6294444444444445 0.0448 0.043701263447435724 "2MASX J00561810-0137327" cdots 91bg-like CSP "" "" SN2006GT sn2006gt 10
sn2006hb 75.50533333333331 -21.131972222222224 0.0153 0.015304133689009587 MCG-041234 E? 86G-like CSP "" "" SN2006HB sn2006hb 10
sn2006hx 18.488791666666664 0.37166666666666665 0.0455 0.04444041911380524 "2MASX J01135716+0022" S0 normal CSP "" "" SN2006HX sn2006hx 10
sn2006is 79.39320833333332 -23.78172222222222 0.031 0.031087767299411446 "GALEXASC J051734.53-234659.1" cdots normal CSP "" "" SN2006IS sn2006is 10
sn2006kf 55.46033333333333 8.156944444444445 0.0213 0.020812331910563236 "UGC 2829" S0 normal CSP "" "" SN2006KF sn2006kf 10
sn2006lu 138.82345833333332 -25.600083333333334 0.0534 0.05443210510328347 "2MASX J09151727-2536001" cdots normal CSP "" "" SN2006LU sn2006lu 10
sn2006mr 50.67933333333333 -37.208222222222226 0.0059 0.005541787668034921 "NGC 1316 (Fornax A)" SAB 91bg-like CSP "" "" SN2006MR sn2006mr 10
sn2006ob 27.950458333333334 0.2634166666666667 0.0592 0.05825750716426589 "UGC 1333" Sb normal CSP "" "" SN2006OB sn2006ob 10
sn2006os 43.75458333333332 16.009666666666668 0.0328 0.03209387633735255 "UGC 2384" S normal CSP "" "" SN2006OS sn2006os 10
sn2006ot 33.77016666666666 -20.766166666666667 0.0531 0.05235201974667203 "ESO 544G31" Sa 06bt-like CSP "" "" SN2006OT sn2006ot 10
sn2006py 340.42520833333333 -0.13691666666666666 0.0579 0.056682772456889186 "SDSS J224142.04-000812.9" cdots normal CSP "" "" SN2006PY sn2006py 10
sn2007A 6.319416666666666 12.886805555555554 0.0177 0.016529648678159425 "NGC 105" Sab normal CSP "" "" SN2007A sn2007A 10
sn2007N 192.25520833333331 -9.452833333333333 0.0129 0.014029516325765587 "MCG 0133012" SA(s)a 91bg-like CSP "" "" SN2007N sn2007N 10
sn2007S 150.13025 4.407277777777778 0.0139 0.015053987111535648 "UGC 5378" Sb 91T-like CSP "" "" SN2007S sn2007S 10
sn2007af 215.58762499999997 -0.3937777777777778 0.0055 0.006329672818741955 "NGC 5584" SAB(rs)cd normal CSP "" "" SN2007AF sn2007af 10
sn2007ai 243.22391666666664 -21.630194444444445 0.0317 0.032046906473401464 "MCG 0438004" Sc 91T-like CSP "" "" SN2007AI sn2007ai 10
sn2007al 149.82699999999997 -19.47383333333333 0.0122 0.013350390967723166 "2MASX J09591870-1928233" cdots 91bg-like CSP "" "" SN2007AL sn2007al 10
sn2007as 141.90004166666665 -80.17755555555556 0.0176 0.017936409383622447 "ESO 18G18" SB(rs)c normal CSP "" "" SN2007AS sn2007as 10
sn2007ax 125.68024999999999 22.554694444444443 0.0069 0.007680901732080444 "NGC 2577" S0 91bg-like CSP "" "" SN2007AX sn2007ax 10
sn2007ba 229.177625 7.3966111111111115 0.0385 0.0390681036930784 "UGC 9798" S0/a 91bg-like CSP "" "" SN2007BA sn2007ba 10
sn2007bc 169.8107083333333 20.80902777777778 0.0208 0.02189420321671293 "UGC 6332" (R)SBa normal CSP "" "" SN2007BC sn2007bc 10
sn2007bd 127.88866666666667 -1.1994444444444445 0.0309 0.03184220903416913 "UGC 4455" SB(r)a normal CSP "" "" SN2007BD sn2007bd 10
sn2007bm 171.2595833333333 -9.798277777777777 0.0062 0.007434085196723773 "NGC 3672" SA(s)c normal CSP "" "" SN2007BM sn2007bm 10
sn2007ca 202.77420833333332 -15.101833333333333 0.0141 0.01511346121769527 "MCG 023461" "Sc pec sp" normal CSP "" "" SN2007CA sn2007ca 10
sn2007cg 201.38991666666664 -24.65225 0.0332 0.03419500392029937 "ESO 508-G75" Sc ... CSP "" "" SN2007CG sn2007cg 10
sn2007hj 345.4495416666666 15.586500000000001 0.0141 0.012877585601741421 "NGC 7461" SB0 ... CSP "" "" SN2007HJ sn2007hj 10
sn2007hx 31.61283333333333 -0.8995277777777777 0.0794 0.07851295438098363 "SDSS J020627.93005353.1" cdots normal CSP "" "" SN2007HX sn2007hx 10
sn2007if 17.714041666666667 15.461083333333333 0.0742 0.0731315486448901 "SNF 20070825-001 HOST" cdots SC CSP "" "" SN2007IF sn2007if 10
sn2007jd 44.972375 1.1607222222222222 0.0726 0.0719273762116598 "SDSS J025953.65+010936.1" cdots normal CSP "" "" SN2007JD sn2007jd 10
sn2007jg 52.461749999999995 0.05683333333333333 0.0371 0.03657006612979338 "SDSS J032950.83+000316.0" cdots normal CSP "" "" SN2007JG sn2007jg 10
sn2007jh 54.00641666666667 1.103388888888889 0.0408 0.040297476583252695 "CGCG 391014" cdots 86G-like CSP "" "" SN2007JH sn2007jh 10
sn2007le 354.7017083333333 -6.522583333333333 0.0067 0.0055050076594755915 "NGC 7721" SA(s)c normal CSP "" "" SN2007LE sn2007le 10
sn2007mm 16.444458333333333 -0.7588333333333334 0.0664 0.0653219095522075 ambiguous^f cdots 86G-like CSP "" "" SN2007MM sn2007mm 10
sn2007nq 14.389874999999998 -1.388611111111111 0.045 0.04390351825938569 "UGC 595" E normal CSP "" "" SN2007NQ sn2007nq 10
sn2007ol 24.34875 -0.312 0.0559 0.054911345840071485 "2MASX J01372378-0018422" cdots normal CSP "" "" SN2007OL sn2007ol 10
sn2007on 54.712083333333325 -35.575 0.0065 0.006192350819633612 "NGC 1404" E1 normal CSP "" "" SN2007ON sn2007on 10
sn2007so 41.92970833333333 13.254111111111111 0.0297 0.028961349611721823 "NGC 1109" compact normal CSP "" "" SN2007SO sn2007so 10
sn2007sr 180.47 -18.972694444444443 0.0055 0.006683174933148587 "NGC 4038 (The Antennae)" "SB(s)m pec" normal CSP "" "" SN2007SR sn2007sr 10
sn2007st 27.17695833333333 -48.649388888888886 0.0212 0.020683743815610313 "NGC 692" (R')SB(r)bc? normal CSP "" "" SN2007ST sn2007st 10
sn2007ux 152.33325 14.992444444444443 0.0309 0.03200346182287725 "2MASX J10091969+1459268" cdots 86G-like CSP "" "" SN2007UX sn2007ux 10
"sn2008 ha" 354.6146666666666 18.226499999999998 0.0046 0.0033939669847137905 "UGC 12682" Im "" CSP "" "" "SN2008 HA" "sn2008 ha" 10
sn2008C 104.29804166666666 20.43713888888889 0.0166 0.017057202605224774 "UGC 3611" S0/a normal CSP "" "" SN2008C sn2008C 10
sn2008J 38.60083333333333 -10.844027777777779 0.0159 0.015162381713207572 "MCG -02-7-33" SBbc? Ia-CSM CSP "" "" SN2008J sn2008J 10
sn2008O 104.39358333333332 -45.812305555555554 0.0389 0.03938832145147646 "ESO 256-G11" SA0^0(s)? normal CSP "" "" SN2008O sn2008O 10
sn2008R 45.973749999999995 -11.994277777777777 0.0135 0.012893876427330279 "NGC 1200" SA(s)0 normal CSP "" "" SN2008R sn2008R 10
sn2008ae 149.01333333333332 10.499666666666666 0.03 0.03111456748528324 "IC 577" S? Iax CSP "" "" SN2008AE sn2008ae 10
sn2008ar 186.158 10.838166666666668 0.0261 0.02721814018139697 "IC 3284" Sab normal CSP "" "" SN2008AR sn2008ar 10
sn2008bc 144.630125 -63.97377777777778 0.0151 0.015729910835590128 "KK 1524" S normal CSP "" "" SN2008BC sn2008bc 10
sn2008bd 154.59716666666668 -13.103111111111112 0.0301 0.03129782864262267 "MCG -02-26-42" (R')SAB^-(s)? 91bg-like CSP "" "" SN2008BD sn2008bd 10
sn2008bf 181.0120833333333 20.245166666666666 0.0235 0.024570856101636583 ambiguous^f E? normal CSP "" "" SN2008BF sn2008bf 10
sn2008bi 128.97245833333332 0.7064166666666666 0.0134 0.014352142512135017 "NGC 2618" (R')SA(rs)ab 91bg-like CSP "" "" SN2008BI sn2008bi 10
sn2008bq 100.26045833333333 -38.03861111111111 0.034 0.03445900454661154 "ESO 308G25" Sa normal CSP "" "" SN2008BQ sn2008bq 10
sn2008bt 162.57033333333334 -12.108888888888888 0.0154 0.016627161361249955 "NGC 3404" "SBab? edge-on" 91bg-like CSP "" "" SN2008BT sn2008bt 10
sn2008bz 189.74058333333332 11.1295 0.0603 0.061390564835850495 "2MASX J12385810+1107502" cdots normal CSP "" "" SN2008BZ sn2008bz 10
sn2008cc 315.8734166666666 -67.1836388888889 0.0104 0.010135344090866413 "ESO 107-G4" E1? normal CSP "" "" SN2008CC sn2008cc 10
sn2008cd 198.75729166666665 -15.951888888888888 0.0074 0.008456393014734904 "NGC 5038" "S0? edge-on" normal CSP "" "" SN2008CD sn2008cd 10
sn2008cf 211.88566666666665 -26.551833333333335 0.046 0.04685933608337375 J140732.38-263305.6 cdots normal CSP "" "" SN2008CF sn2008cf 10
sn2008ff 303.49983333333324 -44.35216666666667 0.0193 0.018778832880949003 ambiguous^f cdots normal CSP "" "" SN2008FF sn2008ff 10
sn2008fl 294.1868333333333 -37.551249999999996 0.0199 0.019416883821473403 "NGC 6805" E1 normal CSP "" "" SN2008FL sn2008fl 10
sn2008fp 109.13583333333332 -29.325499999999998 0.0057 0.006327243057146261 "ESO 428G014" "SAB(r)0 pec" normal CSP "" "" SN2008FP sn2008fp 10
sn2008fr 17.954749999999997 14.640833333333333 0.0397 0.03863214522324936 "SDSS J011149.19+143826.5" cdots normal CSP "" "" SN2008FR sn2008fr 10
sn2008fu 45.61874999999999 -24.455972222222222 0.052 0.05146327269942302 "ESO 480-IG21" cdots normal CSP "" "" SN2008FU sn2008fu 10
sn2008fw 157.23320833333332 -44.66544444444445 0.0085 0.00946397602300687 "NGC 3261" SB(rs)b 91T-like CSP "" "" SN2008FW sn2008fw 10
sn2008gg 21.345999999999997 -18.172444444444444 0.032 0.031071853988173366 "NGC 539" SB(rs)c normal CSP "" "" SN2008GG sn2008gg 10
sn2008gl 20.228416666666664 4.805305555555555 0.034 0.03295182294815572 "UGC 881" E normal CSP "" "" SN2008GL sn2008gl 10
sn2008go 332.68679166666664 -20.788111111111114 0.0623 0.06124585453528123 "2MASX J22104396-2047256" cdots normal CSP "" "" SN2008GO sn2008go 10
sn2008gp 50.75304166666666 1.361888888888889 0.0334 0.032833988640585496 "MCG +00-9-74" (R)SAB(r)a normal CSP "" "" SN2008GP sn2008gp 10
sn2008hj 1.0079583333333333 -11.16875 0.0379 0.036754930709122884 "MCG -02-1-14" SB(rs)c? normal CSP "" "" SN2008HJ sn2008hj 10
sn2008hu 122.31149999999998 -18.65363888888889 0.0497 0.0505609442393496 "ESO 561-G18" Sc normal CSP "" "" SN2008HU sn2008hu 10
sn2008hv 136.89191666666667 3.3922499999999998 0.0126 0.013640823778062435 "NGC 2765" S0 normal CSP "" "" SN2008HV sn2008hv 10
sn2008ia 132.64645833333333 -61.277944444444444 0.0219 0.022513312237933764 "ESO 125-G 006" S0 normal CSP "" "" SN2008IA sn2008ia 10
sn2009D 58.59512499999999 -19.181722222222223 0.025 0.02466375797347662 "MCG -03-10-52" Sb normal CSP "" "" SN2009D sn2009D 10
sn2009F 74.84816666666666 -11.130583333333334 0.013 0.012962528414903795 "NGC 1725" S0 91bg-like CSP "" "" SN2009F sn2009F 10
sn2009I 41.29333333333332 -4.713722222222223 0.0262 0.025480440469221155 "NGC 1080" SAB(s)c? normal CSP "" "" SN2009I sn2009I 10
sn2009J 88.83804166666665 -76.92244444444445 0.0158 0.01599875524004187 "IC 2160" "(R')SB(s)c pec?" Iax CSP "" "" SN2009J sn2009J 10
sn2009P 170.1615833333333 -3.546194444444444 0.0251 0.026334434259969352 "CGCG 011-065" cdots normal CSP "" "" SN2009P sn2009P 10
sn2009Y 220.59937499999995 -17.24677777777778 0.0094 0.010157330734102943 "NGC 5728" SAB(r)a? normal CSP "" "" SN2009Y sn2009Y 10
sn2009aa 170.92616666666663 -22.270694444444445 0.0273 0.028492261971585067 "ESO 570-G20" Sc normal CSP "" "" SN2009AA sn2009aa 10
sn2009ab 64.151625 2.7641666666666667 0.0112 0.010898831807599199 "UGC 2998" SB(rs)b normal CSP "" "" SN2009AB sn2009ab 10
sn2009ad 75.88908333333332 6.659916666666667 0.0284 0.028337359018954372 "UGC 3236" Sbc normal CSP "" "" SN2009AD sn2009ad 10
sn2009ag 107.92004166666666 -26.685083333333335 0.0086 0.009214797245710844 "ESO 492-2" "SAB(rs)b pec" normal CSP "" "" SN2009AG sn2009ag 10
sn2009al 162.8419583333333 8.578527777777778 0.0221 0.023287217450779683 "NGC 3425^f" S0 normal CSP "" "" SN2009AL sn2009al 10
sn2009cz 138.75008333333332 29.735305555555556 0.0211 0.021955875593885885 "NGC 2789" S0/a normal CSP "" "" SN2009CZ sn2009cz 10
sn2009dc 237.80049999999997 25.70777777777778 0.0214 0.021717104641713697 "UGC 10064" S0 SC CSP "" "" SN2009DC sn2009dc 10
sn2009ds 177.267125 -9.729138888888889 0.0193 0.02052034061066142 "NGC 3905" SB(rs)c normal CSP "" "" SN2009DS sn2009ds 10
sn2009le 32.321416666666664 -23.412444444444443 0.0178 0.017053175937208235 "ESO 478-6" Sbc normal CSP "" "" SN2009LE sn2009le 10
sn2010ae 108.97770833333331 -57.343583333333335 0.0037 0.0041677047524237825 "ESO 162-17" "SB? pec edge-on" Iax CSP "" "" SN2010AE sn2010ae 10
