Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 2003ah Ia  Ia,Ia-norm  sn2003ah-20030227-br.flm  20030227.0  None | 19 LRIS  3086.0 - 9420.0 48.354  Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003ai Ia  Ia,Ia-norm  sn2003ai-20030228-br.flm  20030228.0  7.7 | 20  LRIS  3060.0 - 9422.0 27.3595 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003an Ia  Ia,Ia-99aa,Ia-norm  sn2003an-20030227-br.flm  20030227.0  None | 18 LRIS  3086.0 - 9420.0 26.8462 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003au Ia  Ia,Ia-91bg,Ia-norm  sn2003au-20030227-br.flm  20030227.0  None | 10 LRIS  3136.0 - 9420.0 17.0637 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003av Ia  Ia,Ia-99aa,Ia-norm  sn2003av-20030227-br.flm  20030227.0  None | 23 LRIS  3120.0 - 9420.0 14.58 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003ax Ia  Ia,Ia-norm  sn2003ax-20030227-br.flm  20030227.0  None | 18 LRIS  3052.0 - 9420.0 32.6064 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003ay Ia  Ia,Ia-99aa,Ia-norm  sn2003ay-20030228-br.flm  20030228.0  None | 9  LRIS  3094.0 - 9422.0 24.818  Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003bf Ia  Ia,Ic,Ic-norm,Ia-norm sn2003bf-20030310.820-hst.flm 20030310.82 None | 20 None  1710.0 - 5690.0 28.6082 None | None 2008ApJ...686..117F
SN 2003bf Ia  Ia,Ia-norm  sn2003bf-20030317.577-hst.flm 20030317.577  None | 27 None  1670.0 - 5690.0 23.0871 None | None 2008ApJ...686..117F
SN 2003bf Ia  Ia,Ia-99aa,Ia-norm  sn2003bf-20030324.245-hst.flm 20030324.245  None | 34 None  1805.0 - 5690.0 18.0562 None | None 2008ApJ...686..117F
SN 2003bf Ia  Ia,Ia-99aa,Ia-norm  sn2003bf-20030227-br.flm  20030227.0  None | 9  LRIS  3042.0 - 9420.0 84.0613 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003bh Ia  Ia,Ia-norm  sn2003bh-20030227-br.flm  20030227.0  None | 6  LRIS  3146.0 - 9422.0 15.2052 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003bi Ia  Ia,Ia-norm  sn2003bi-20030228-br.flm  20030228.0  None | 6  LRIS  3120.0 - 9422.0 28.4822 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003bt Ia  Ia,Ia-99aa,Ia-norm  sn2003bt-20030317.713-hst.flm 20030317.713  None | 8  None  1690.0 - 5690.0 21.5478 None | None 2008ApJ...686..117F
SN 2003cq Ia  Ia,Ia-norm  sn2003cq-20030408-ui.flm  20030408.0  -1.9 | 9  Kast  3134.0 - 10400.0  23.4037 Ryan Foley, Marina Papenkova, Dan Weisz | Ryan Foley  2012MNRAS.425.1789S
SN 2003du Ia  Ia,Ia-norm  sn2003du-20030727-ui.flm  20030727.0  81.5 | 96 Kast  3300.0 - 10400.0  28.1195 Alex Filippenko, Ryan Foley, Louis Desroches | Ryan Foley 2005ApJ...632..450L
SN 2003du Ia  Ia,Ia-norm  sn2003du-20030530-ui.flm  20030530.0  23.8 | 38 Kast  3184.0 - 10400.0  40.7252 Ryan Foley, Louis Desroches, Deborah Hutchings | Ryan Foley 2005ApJ...632..450L
SN 2003du Ia  Ia,Ia-99aa,Ia-norm  sn2003du-20030706.343-ui.flm  20030706.343  60.6 | 75 Kast  3300.0 - 10500.0  33.8221 Ryan Foley, Louis Desroches, Mohan Ganeshalingam | Thea Steele  2012MNRAS.425.1789S
SN 2003du Ia  Ia,Ia-norm  sn2003du-20030607.396-ui.flm  20030607.396  31.8 | 46 Kast  3300.0 - 10500.0  49.0942 Ryan Foley | Thea Steele  2012MNRAS.425.1789S
SN 2003du Ia  Ia,Ia-99aa,Ia-norm  sn2003du-20030524-bs.flm  20030524.0  17.9 | 32 LRIS  3220.0 - 5500.0 49.7278 Alex Filippenko, Douglas Leonard, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2003du Ia  Ia,Ia-norm  sn2003du-20030524-rs.flm  20030524.0  17.9 | 32 LRIS  5700.0 - 9420.0 179.415 Alex Filippenko, Douglas Leonard, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2003dw Ia  Ic,Ic-broad sn2003dw-20030530-ui.flm  20030530.0  None | 34 Kast  3282.0 - 10400.0  2.51763 Ryan Foley, Louis Desroches, Deborah Hutchings | Ryan Foley 2012MNRAS.425.1789S
SN 2003ek Ia  NoMatch,NoMatch sn2003ek-20030530-ui.flm  20030530.0  None | 10 Kast  3168.0 - 10400.0  4.04157 Ryan Foley, Louis Desroches, Deborah Hutchings | Ryan Foley 2012MNRAS.425.1789S
SN 2003ek Ia  Ia,Ia-norm  sn2003ek-20030608.421-ui.flm  20030608.421  None | 19 Kast  3640.0 - 10140.0  20.738  Ryan Foley | Thea Steele  2012MNRAS.425.1789S
SN 2003ek Ia  NoMatch,NoMatch sn2003ek-20030524-bs.flm  20030524.0  None | 4  LRIS  4000.0 - 5500.0 4.10567 Alex Filippenko, Douglas Leonard, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2003ek Ia  Ia,Ia-norm  sn2003ek-20030524-rs.flm  20030524.0  None | 4  LRIS  5700.0 - 9420.0 11.3987 Alex Filippenko, Douglas Leonard, Ryan Chornock | Douglas Leonard 2012MNRAS.425.1789S
SN 2003fa Ia  Ia,Ia-99aa,Ia-norm  sn2003fa-20030727-ui.flm  20030727.0  38.5 | 56 Kast  3300.0 - 10400.0  12.8262 Alex Filippenko, Ryan Foley, Louis Desroches | Ryan Foley 2012MNRAS.425.1789S
SN 2003fa Ia  Ia,Ia-99aa,Ia-norm  sn2003fa-20030707.379-ui.flm  20030707.379  19.2 | 36 Kast  3300.0 - 10500.0  16.7923 Ryan Foley, Louis Desroches, Mohan Ganeshalingam | Thea Steele  2012MNRAS.425.1789S
SN 2003fa Ia  Ia,Ia-99aa,Ia-norm  sn2003fa-20030607.426-ui.flm  20030607.426  -9.6 | 6  Kast  3300.0 - 10500.0  27.5084 Ryan Foley | Thea Steele  2012MNRAS.425.1789S
SN 2003fd Ia  Ia,Ia-norm  sn2003fd-20030629-brs.flm 20030629.0  None | 20 LRIS  3250.0 - 9200.0 32.9668 Alex Filippenko, Alison Coil | Douglas Leonard  2012MNRAS.425.1789S
SN 2003gj Ia  Ia,Ia-norm  sn2003gj-20030707.402-ir.flm  20030707.402  None | 7  Kast  5224.0 - 10156.0  4.52721 Ryan Foley, Louis Desroches, Mohan Ganeshalingam | Thea Steele  2012MNRAS.425.1789S
SN 2003gn Ia  Ia,Ia-norm  sn2003gn-20030727-ui.flm  20030727.0  None | 5  Kast  3300.0 - 10400.0  10.8661 Alex Filippenko, Ryan Foley, Louis Desroches | Ryan Foley 2012MNRAS.425.1789S
SN 2003gn Ia  Ia,Ia-norm  sn2003gn-20030805.271-ui.flm  20030805.271  None | 14 Kast  3594.0 - 10154.0  3.29429 Alex Filippenko, Ryan Foley, Louis Desroches | Thea Steele  2012MNRAS.425.1789S
SN 2003gq Ia-pec  Ia,Ia-02cx  sn2003gq-20030727-ui.flm  20030727.0  None | 3  Kast  3300.0 - 10400.0  15.2781 Alex Filippenko, Ryan Foley, Louis Desroches | Ryan Foley 2006AJ....132..189J
SN 2003gq Ia-pec  Ia,Ia-norm,Ia-02cx  sn2003gq-20030928-brlo.flm  20030928.0  None | 66 LRIS  3120.5 - 9250.0 18.4996 Alex Filippenko, Ryan Chornock | Ryan Chornock  2006AJ....132..189J
SN 2003gs Ia  Ia,Ia-norm  sn2003gs-20040214.264-joined.flm  20040214.264  None | 200  ESI 3930.1 - 10198.7  10.9571 Alex Filippenko, Ryan Foley, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003gs Ia  Ia,Ia-91bg,Ia-norm  sn2003gs-20030828.410-ui.flm  20030828.41 None | 30 Kast  3300.0 - 10000.0  46.1821 Alex Filippenko, Ryan Foley, Frank Serduke | Thea Steele  2012MNRAS.425.1789S
SN 2003gt Ia  Ia,Ia-norm  sn2003gt-20030805.248-ui.flm  20030805.248  None | 7  Kast  3300.0 - 10500.0  37.1992 Alex Filippenko, Ryan Foley, Louis Desroches | Thea Steele  2012MNRAS.425.1789S
SN 2003gt Ia  Ia,Ia-norm  sn2003gt-20030828.286-ui.flm  20030828.286  None | 30 Kast  3300.0 - 10000.0  43.2944 Alex Filippenko, Ryan Foley, Frank Serduke | Thea Steele  2012MNRAS.425.1789S
SN 2003he Ia  Ia,Ia-norm  sn2003he-20030903.358-ui.flm  20030903.358  None | 23 Kast  3300.0 - 10400.0  25.9859 Alison Coil, Alex Filippenko, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003he Ia  Ia,Ia-norm  sn2003he-20030828.374-ui.flm  20030828.374  None | 17 Kast  3300.0 - 10000.0  32.5845 Alex Filippenko, Ryan Foley, Frank Serduke | Thea Steele  2012MNRAS.425.1789S
SN 2003hj Ia  Ia,Ia-norm  sn2003hj-20030828.188-ui.flm  20030828.188  None | 9  Kast  3576.0 - 9812.0 8.61275 Alex Filippenko, Ryan Foley, Frank Serduke | Thea Steele  2012MNRAS.425.1789S
SN 2003hm Ia  Ia,Ia-99aa,Ia-norm  sn2003hm-20030828.450-ui.flm  20030828.45 None | 8  Kast  3394.0 - 9980.0 22.0416 Alex Filippenko, Ryan Foley, Frank Serduke | Thea Steele  2012MNRAS.425.1789S
SN 2003hs Ia  Ia,Ia-norm  sn2003hs-20030903-ui.flm  20030903.0  None | 3  Kast  3278.0 - 10400.0  10.441  Alison Coil, Alex Filippenko, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003hv Ia  Ia,Ia-norm  sn2003hv-20031123-ui.flm  20031123.0  None | 75 Kast  3300.0 - 10400.0  17.1865 Alex Filippenko, Ryan Foley, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2003hv Ia  Ia,Ia-norm  sn2003hv-20031002.472-ui.flm  20031002.472  None | 23 Kast  3300.0 - 10400.0  51.509  Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2003hv Ia  Ia,Ia-norm  sn2003hv-20030928.573-br.flm  20030928.573  None | 19 LRIS  3082.0 - 9250.0 99.7379 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003hw Ia  Ia,Ia-99aa,Ia-norm  sn2003hw-20030928.546-br.flm  20030928.546  None | 20 LRIS  3134.0 - 9250.0 7.90003 Alex Filippenko, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2003hx Ia  Ia,Ia-norm  sn2003hx-20031002.547-ui.flm  20031002.547  None | 20 Kast  3300.0 - 10400.0  34.997  Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2003ij Ia  Ia,Ia-99aa,Ia-norm  sn2003ij-20031002.457-ui.flm  20031002.457  None | 7  Kast  3300.0 - 10400.0  36.3923 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2003ik Ia  Ia,Ia-99aa,Ia-norm  sn2003ik-20031002.536-ui.flm  20031002.536  None | 3  Kast  3300.0 - 10400.0  30.2533 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2003im Ia  Ia,Ia-norm  sn2003im-20031002.489-ui.flm  20031002.489  None | 2  Kast  3300.0 - 10400.0  10.1064 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2003in Ia  Ia,Ia-norm  sn2003in-20031002.512-ui.flm  20031002.512  None | 2  Kast  3300.0 - 10400.0  6.13226 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2003iv Ia  Ia,Ia-norm  sn2003iv-20031028-ui.flm  20031028.0  5.8 | 11  Kast  3260.0 - 10400.0  14.3103 Alex Filippenko, Ryan Foley, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2003iv Ia  Ia,Ia-norm  sn2003iv-20031023.469-ui.flm  20031023.469  1.0 | 6 Kast  3312.0 - 10268.0  28.1586 Alex Filippenko, Surabh Jha, Ryan Chornock | Thea Steele  2012MNRAS.425.1789S
SN 2003iz Ia  Ia,Ia-norm  sn2003iz-20031023.357-ui.flm  20031023.357  None | 2  Kast  3586.0 - 10500.0  12.5164 Alex Filippenko, Surabh Jha, Ryan Chornock | Thea Steele  2012MNRAS.425.1789S
SN 2003kc Ia  Ia,Ia-norm  sn2003kc-20031123-ui.flm  20031123.0  -12.6 | 2 Kast  3300.0 - 10400.0  14.0281 Alex Filippenko, Ryan Foley, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2003kd Ia  Ia,Ia-norm  sn2003kd-20031129-br.flm  20031129.0  None | 6  LRIS  3066.0 - 9410.0 30.5824 Ryan Foley, Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2003kd Ia  Ia,Ia-91bg  sn2003kd-20040117-ui.flm  20040117.0  None | 55 Kast  3320.0 - 10400.0  23.5785 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003kf Ia  Ia,Ia-norm  sn2003kf-20031129-br.flm  20031129.0  -7.9 | 2  LRIS  3000.0 - 9410.0 90.8209 Ryan Foley, Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2003kf Ia  Ia,Ia-99aa,Ia-norm  sn2003kf-20040117-ui.flm  20040117.0  40.7 | 51 Kast  3320.0 - 10400.0  44.2286 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003kg Ia  Ia,Ia-norm  sn2003kg-20031129-br.flm  20031129.0  None | 2  LRIS  3066.0 - 9420.0 59.3228 Ryan Foley, Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2003kh Ia  Ia,Ia-91bg,Ia-norm  sn2003kh-20031129-br.flm  20031129.0  None | 2  LRIS  3088.0 - 9420.0 37.7624 Ryan Foley, Alex Filippenko, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2003lb Ia  Ia,Ia-norm  sn2003lb-20040117-ui.flm  20040117.0  None | 23 Kast  3320.0 - 10400.0  33.619  Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003lc Ia  Ia,Ia-norm  sn2003lc-20040117-ui.flm  20040117.0  None | 22 Kast  3418.0 - 10400.0  19.5399 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003lq Ia  Ia,Ia-norm  sn2003lq-20040117-ui.flm  20040117.0  None | 20 Kast  3320.0 - 10400.0  32.1957 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2003ls Ia  Ia,Ia-99aa,Ia-norm  sn2003ls-20040117-ui.flm  20040117.0  None | 26 Kast  3586.0 - 10400.0  12.1261 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2004E  Ia  Ia,Ia-norm  sn2004e-20040117-ui.flm 20040117.0  None | 2  Kast  3320.0 - 10400.0  36.0883 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2004S  Ia  Ic,Ic-norm  sn2004s-20041215.491-deimos.flm 20041215.491  311.1 | 316 DEIMOS  4709.0 - 7223.05  5.5142  Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004S  Ia  Ia,Ib,Ia-norm sn2004s-20040213.341-br.flm 20040213.341  7.9 | 10  LRIS  3040.5 - 9250.0 130.395 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Chornock  2012MNRAS.425.1789S
SN 2004W  Ia  Ic,Ic-norm,Ic-broad sn2004w-20040213.587-br.flm 20040213.587  None | 16 LRIS  3134.0 - 9258.0 21.5817 Alex Filippenko, Ryan Chornock, Ryan Foley | Ryan Chornock  2012MNRAS.425.1789S
SN 2004Y  Ia  Ia,Ia-norm  sn2004y-20040214.665-joined.flm 20040214.665  None | 2  ESI 3930.06 - 10199.3 9.07183 Alex Filippenko, Ryan Foley, Ryan Chornock | Ryan Chornock  2012MNRAS.425.1789S
SN 2004as Ia  Ia,Ia-norm  sn2004as-20040316.608-br.flm  20040316.608  -5.8 | 5  LRIS  3304.0 - 9230.0 56.438  Alex Filippenko | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bd Ia  Ia,Ia-norm  sn2004bd-20040410.156-ui.flm  20040410.156  None | 3  Kast  3300.0 - 10400.0  45.0742 Desroches/Serduke/Filippenko | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004bd Ia  Ia,Ia-norm  sn2004bd-20040424.279-ui.flm  20040424.279  None | 17 Kast  3476.0 - 10600.0  35.1223 Desroches, Frank Serduke, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bd Ia  Ia,Ia-91T,Ia-norm sn2004bd-20040512.359-ui.flm  20040512.359  None | 35 Kast  3510.0 - 10522.0  17.6051 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bg Ia  Ia,Ia-norm  sn2004bg-20040424.256-ui.flm  20040424.256  8.8 | 17  Kast  3350.0 - 10592.0  39.8854 Desroches, Frank Serduke, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bg Ia  Ia,Ia-99aa,Ia-norm  sn2004bg-20040512.298-ui.flm  20040512.298  26.4 | 35 Kast  3544.0 - 10590.0  15.2896 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bj Ia  Ia,Ia-91bg,Ia-norm  sn2004bj-20040424.309-ui.flm  20040424.309  None | 2  Kast  3476.0 - 10600.0  12.1211 Desroches, Frank Serduke, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bk Ia  Ia,Ia-norm  sn2004bk-20040424.371-ui.flm  20040424.371  None | 2  Kast  3400.0 - 10280.0  41.1894 Desroches, Frank Serduke, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bk Ia  Ia,Ia-99aa,Ia-norm  sn2004bk-20040527.309-lowopt.flm  20040527.309  None | 35 Kast  3986.0 - 6750.0 11.657  Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bl Ia  Ia,Ia-norm  sn2004bl-20040512.189-ui.flm  20040512.189  None | 13 Kast  3368.0 - 10580.0  22.9812 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bl Ia  Ia,Ia-norm  sn2004bl-20040527.218-lowopt.flm  20040527.218  None | 28 Kast  3986.0 - 6750.0 40.6171 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bp Ia  II,Ib,IIP,IIb sn2004bp-20040512.329-ui.flm  20040512.329  None | 9  Kast  3436.0 - 10580.0  4.49872 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bq Ia  Ia,Ia-norm  sn2004bq-20040512.474-ui.flm  20040512.474  None | 7  Kast  3894.0 - 10532.0  3.20384 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004br Ia  Ia,Ia-99aa,Ia-norm  sn2004br-20040620-ui.flm  20040620.0  None | 36 Kast  3300.0 - 10400.0  22.7852 Ryan Foley, Mohan Ganeshalingam | Ryan Foley  2012MNRAS.425.1789S
SN 2004br Ia  Ia,Ia-91T,Ia-norm sn2004br-20040613.219-ui.flm  20040613.219  None | 29 Kast  3320.0 - 10400.0  36.5274 Ryan Foley, Wong, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004br Ia  Ia,Ic,Ia-99aa,Ia-norm sn2004br-20040527.285-lowopt.flm  20040527.285  None | 12 Kast  3986.0 - 6750.0 49.57 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-norm  sn2004bv-20040711-ui.flm  20040711.0  None | 48 Kast  3300.0 - 10400.0  52.1722 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-norm  sn2004bv-20040718-ui.flm  20040718.0  None | 55 Kast  3300.0 - 10400.0  37.4219 Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-norm  sn2004bv-20040808-ui.flm  20040808.0  None | 76 Kast  3310.0 - 10400.0  10.0266 Ryan Foley, Mohan Ganeshalingam, Frank Serduke | Ryan Foley 2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-norm  sn2004bv-20041018-br.flm  20041018.0  None | 147  LRIS  3070.0 - 9400.0 31.6915 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-norm  sn2004bv-20040613.471-ui.flm  20040613.471  None | 20 Kast  3320.0 - 10400.0  44.5267 Ryan Foley, Wong, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-norm  sn2004bv-20041114-br.flm  20041114.0  None | 174  LRIS  3100.0 - 9400.0 27.0422 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004bv Ia  Ia,Ia-91T sn2004bv-20040527.467-hiopt.flm 20040527.467  None | 3  Kast  3988.0 - 6800.0 84.061  Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bw Ia  Ia,Ia-norm  sn2004bw-20040613.333-ui.flm  20040613.333  None | 18 Kast  3320.0 - 10400.0  34.4373 Ryan Foley, Wong, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bw Ia  Ia,Ia-norm  sn2004bw-20040527.362-lowopt.flm  20040527.362  None | 1  Kast  3986.0 - 6750.0 16.1274 Ryan Foley, Mohan Ganeshalingam, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004bz Ia  Ia,Ia-norm  sn2004bz-20040613.453-ui.flm  20040613.453  None | 11 Kast  3320.0 - 10400.0  4.27292 Ryan Foley, Wong, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004ca Ia  Ia,Ia-99aa,Ia-norm  sn2004ca-20040613.423-ui.flm  20040613.423  None | 11 Kast  3320.0 - 10400.0  43.8668 Ryan Foley, Wong, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004cb Ia  Ia,Ia-99aa,Ia-norm  sn2004cb-20040613.197-ui.flm  20040613.197  None | 32 Kast  3320.0 - 10400.0  14.7592 Ryan Foley, Wong, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004cv Ia  Ia,Ic,Ia-norm sn2004cv-20040711-ui.flm  20040711.0  None | 17 Kast  3300.0 - 10400.0  21.8957 Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2004da Ia  Ia,Ia-norm  sn2004da-20040711-ui.flm  20040711.0  None | 5  Kast  3300.0 - 10400.0  59.226  Ryan Foley, Frank Serduke | Ryan Foley  2012MNRAS.425.1789S
SN 2004da Ia  Ia,Ia-99aa,Ia-norm  sn2004da-20040718-ui.flm  20040718.0  None | 12 Kast  3300.0 - 10400.0  45.9672 Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2004da Ia  Ia,Ia-norm,Ia-pec sn2004da-20040808-ui.flm  20040808.0  None | 33 Kast  3310.0 - 10400.0  34.3599 Ryan Foley, Mohan Ganeshalingam, Frank Serduke | Ryan Foley 2012MNRAS.425.1789S
SN 2004db Ia  Ia,Ia-91T,Ia-norm sn2004db-20040808-i.flm 20040808.0  None | 41 Kast  5300.0 - 10400.0  4.72486 Ryan Foley, Mohan Ganeshalingam, Frank Serduke | Ryan Foley 2012MNRAS.425.1789S
SN 2004di Ia  Ia,Ia-91bg,Ia-norm  sn2004di-20040808-ui.flm  20040808.0  None | 13 Kast  3310.0 - 10400.0  2.35782 Ryan Foley, Mohan Ganeshalingam, Frank Serduke | Ryan Foley 2012MNRAS.425.1789S
SN 2004di Ia  Ia,Ia-91bg,Ia-norm  sn2004di-20040816.301-ui.flm  20040816.301  None | 21 Kast  3320.0 - 10400.0  4.03903 Alex Filippenko, Ryan Foley, Mohan Ganeshalingam | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20040824-vis2.flm  20040824.0  None | 13 Kast  4500.0 - 9800.0 94.5257 Alex Filippenko, Mohan Ganeshalingam, Frank Serduke, Sung Park | Douglas Leonard  2005ApJ...632..450L
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20041001-ui.flm  20041001.0  None | 51 Kast  3330.0 - 10400.0  14.3793 Tommaso Treu | Ryan Foley 2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20041212.391-br.flm  20041212.391  None | 123  LRIS  3164.0 - 9320.0 24.5086 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20040816.413-ui.flm  20040816.413  None | 5  Kast  3320.0 - 10400.0  39.9613 Alex Filippenko, Ryan Foley, Mohan Ganeshalingam | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20040910.358-ui.flm  20040910.358  None | 30 Kast  3310.0 - 10500.0  40.3635 Alex Filippenko, Mohan Ganeshalingam, Frank Serduke, Jennifer Hoffman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20040924.400-ui.flm  20040924.4  None | 44 Kast  3320.0 - 10500.0  36.4612 Alex Filippenko, Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004dt Ia  NoMatch,NoMatch sn2004dt-20050211.260-br.flm  20050211.26 None | 184  DEIMOS  5046.0 - 10200.8  6.21243 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20041114-br.flm  20041114.0  None | 95 LRIS  3146.0 - 9400.0 26.012  Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004dt Ia  Ia,Ia-norm  sn2004dt-20041013.410-ui.flm  20041013.41 None | 63 Kast  3330.0 - 10500.0  23.7146 | Thea Steele 2012MNRAS.425.1789S
SN 2004ef Ia  Ia,Ia-norm  sn2004ef-20041018-br.flm  20041018.0  31.0 | 44 LRIS  3070.0 - 9400.0 38.3486 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
