Name UT_Date RA DEC z E(B-V) SN_Type num_spec f_epoch l_epoch ref
SN 2010hh 2010−09−01 269.8270 45.8756 0.0190 0.033 Ia-91bg 1 ... ... ...
SN 2010hz 2010−09−12 28.4249 29.9346 0.0255 0.047 Ia-norm 1 ... ... ...
SN 2010ii 2010−09−30 339.5550 35.4917 0.0269 0.075 Ia-norm 2 ... ... ...
SN 2010iw 2010−10−14 131.3130 27.8227 0.0215 0.047 Ia-norm 1 10.4 ... 2
SN 2010ju 2010−11−14 85.4833 18.4975 0.0152 0.361 Ia-norm 2 6.1 19.9 1
SN 2010kg 2010−11−29 70.0350 7.3500 0.0166 0.134 Ia-norm 2 −13.0 0.8 2
SN 2011H 2011−01−04 35.7751 43.0423 0.0220 0.073 Ia-norm 1 ... ... ...
SN 2011K 2011−01−13 71.3766 −7.3480 0.0145†(d) 0.088 Ia-norm 1 9.1 ... 2
SN 2011U 2011−01−28 63.3914 27.5435 0.0134 0.593 Ia-norm 1 ... ... ...
SN 2011ao 2011−03−03 178.4630 33.3628 0.0107 0.017 Ia-norm 3 −8.7 37.6 2
SN 2011ay 2011−03−18 105.6420 50.5903 0.0210 0.072 Iax 9 ... ... ...
SN 2011by 2011−04−26 178.9400 55.3261 0.0028 0.012 Ia-norm 11 −11.1 310.3 1
SN 2011dm 2011−06−15 329.1730 73.2969 0.0049 0.519 Ia-norm 1 ... ... ...
SN 2011dn 2011−06−21 299.6480 2.6045 0.0253 0.151 Ia-pec 1 ... ... ...
SN 2011fg 2011−08−20 350.8360 16.7948 0.0450†(d) 0.023 Ia-norm 2 ... ... ...
SN 2011fe 2011−08−24 210.7740 54.2737 0.0008 0.008 Ia-norm 17 −17.2 378.5 1
SN 2011fk 2011−08−29 13.6753 36.7643 0.0201 0.048 Ia 1 ... ... ...
SN 2011fs 2011−09−15 334.3310 35.5806 0.0209 0.101 Ia-99aa 3 −2.6 25.8 1
SN 2011gy 2011−10−22 52.3971 40.8676 0.0169†(d) 0.166 Ia-norm 1 ... ... ...
SN 2011hb 2011−10−24 351.9810 8.7794 0.0289†(d) 0.051 Ia-norm 1 ... ... ...
SN 2011iv 2011−12−02 54.7140 −35.5922 0.0065 0.010 Ia-norm 2 ... ... ...
SN 2011jh 2011−12−22 191.8100 −10.0631 0.0078 0.032 Ia-norm 3 ... ... ...
SN 2011jr 2011−12−25 106.6660 23.8936 0.0226 0.052 Ia-norm 2 ... ... ...
SN 2011jn 2011−12−26 194.3120 −17.4001 0.0475†(d) 0.059 Ia-norm 1 ... ... ...
SN 2011jt 2011−12−31 223.3460 2.9620 0.0278†(d) 0.039 Ia-norm 2 ... ... ...
SN 2012B 2012−01−08 57.8938 37.0785 0.0173†(d) 0.271 Ia-norm 1 ... ... ...
SN 2012E 2012−01−14 38.3450 9.5849 0.0203 0.063 Ia-norm 1 −4.3 ... 1
SN 2012Z 2012−01−29 50.5223 −15.3877 0.0071 0.034 Iax 4 −7.6 35.1 1
SN 2012c1 2012−03−27 166.3340 −1.8681 0.0908 0.047 Ia-csm 2 ... ... ...
SN 2012cg 2012−05−17 186.8030 9.4203 0.0015 0.018 Ia-norm 10 −16.4 46.5 1
SN 2012cu 2012−06−14 193.3720 2.1608 0.0035 0.023 Ia-norm 3 ... ... ...
SN 2012de 2012−06−25 333.7720 10.3035 ... 0.062 Ia-norm 1 ... ... ...
SN 2012dn 2012−07−08 305.9010 −28.2787 0.0102†(d) 0.052 Ia-norm 2 −14.6 −9.6 1
SN 2012dv 2012−07−18 327.1260 −12.8392 0.0700 0.037 Ia-norm 1 ... ... ...
SN 2012ea 2012−08−08 266.2930 18.1408 0.0102 0.055 Ia 2 −6.8 29.8 1
PTF 12ild 2012−09−06 338.2420 −0.2152 0.1723 0.051 Ia-norm 1 ... ... ...
PTF 12irf 2012−09−15 30.5316 0.1838 0.1921 0.020 Ia 1 ... ... ...
LSQ 12fhe 2012−10−02 323.0390 −5.7260 0.0275 0.062 Ia* 1 ... ... ...
SN 2012fr 2012−10−27 53.4000 −36.1271 0.0055 0.018 Ia-norm 9 −6.1 92.1 7
SN 2012gl 2012−10−29 153.2100 12.6824 0.0094 0.036 Ia-norm 1 ... ... ...
SN 2012gx 2012−11−18 9.5073 −13.8610 0.0140†(d) 0.019 Ia-norm 1 ... ... ...
SN 2012ht 2012−12−18 163.3450 16.7764 0.0036 0.025 Ia-norm 13 1.9 128.2 8
SN 2012ij 2012−12−29 175.0660 17.4562 0.0110†(d) 0.023 Ia-91bg 4 ... ... ...
SN 2013E 2013−01−04 150.0230 −34.2337 0.0094 0.084 Ia-norm 5 ... ... ...
SN 2013Q 2013−01−25 356.7830 29.4865 0.0172 0.085 Ia-norm 2 ... ... ...
SN 2013S 2013−01−25 53.8762 38.2832 0.0186†(d) 0.305 Ia-99aa 1 ... ... ...
SN 2013gq 2013−03−25 124.4730 23.4696 0.0139 0.049 Ia-norm 4 1.1 16.7 1
SN 2013ct 2013−05−10 18.2288 0.9794 0.0038 0.024 Ia 1 ... ... ...
SN 2013dj 2013−06−10 251.5080 6.4665 0.0253 0.063 Ia-91T 1 ... ... ...
SN 2013dh 2013−06−12 232.5050 12.9869 0.0134 0.033 Ia 4 −5.7 19.1 1
SN 2013di 2013−06−12 339.1140 21.6151 0.0238 0.040 Ia-norm 2 ... ... ...
SN 2013dy 2013−07−10 334.5730 40.5693 0.0039 0.132 Ia-norm 14 −11.7 422.2 1
SN 2013gh 2013−08−08 330.5910 −18.9168 0.0088 0.025 Ia* 3 −11.8 392.2 1
SN 2013fa 2013−08−25 310.9730 12.5144 0.0155 0.086 Ia-norm 1 2.0 ... 1
SN 2013fw 2013−10−21 318.4370 13.5759 0.0170 0.067 Ia* 1 347.3 ... 1
SN 2013gs 2013−11−29 142.7870 46.3848 0.0169 0.017 Ia-norm 1 ... ... ...
SN 2013gy 2013−12−06 55.5703 −4.7218 0.0140 0.050 Ia-norm 3 5.6 271.8 1
PSN J03055989+0432382 2013−12−21 46.4995 4.5439 ... 0.146 Ia-norm 1 ... ... ...
SN 2013hs 2013−12−25 29.7237 5.5904 0.0194 0.036 Ia-norm 1 ... ... ...
SN 2014J 2014−01−21 148.9260 69.6739 0.0007 0.136 Ia-norm 10 33.9 291.6 1
SN 2014ag 2014−03−11 247.6690 44.5096 0.0317 0.011 Ia 1 ... ... ...
SN 2014ao 2014−04−17 128.6390 −2.5434 0.0141 0.031 Ia-norm 1 10.3 ... 1
ASASSN 14ar 2014−04−24 137.4240 37.6018 0.0230 0.017 Ia-norm 1 ... ... ...
SN 2014ck 2014−06−29 341.4120 73.1619 0.0050†(d) 0.394 Iax 2 ... ... ...
SN 2014da 2014−08−07 7.3130 2.8660 0.0141†(d) 0.025 Ia-91bg 1 ... ... ...
ASASSN 14gh 2014−08−28 258.7890 41.8109 0.0044†(d) 0.023 Ia-norm 1 ... ... ...
SN 2014dg 2014−09−11 57.0824 70.1318 0.0040†(d) 0.628 Ia-norm 11 ... ... ...
SN 2014dl 2014−09−25 247.4420 8.6418 0.0330 0.054 Ia-91T 1 ... ... ...
SN 2014dm 2014−09−27 62.0297 −8.8270 0.0330†(d) 0.041 Ia-norm 1 ... ... ...
SN 2014dt 2014−10−29 185.4900 4.4718 0.0052 0.019 Iax 13 ... ... ...
PSN J03034759+0024146 2014−11−17 45.9483 0.4041 0.0430 0.073 Ia-norm 1 ... ... ...
iPTF 14jfw 2014−11−23 137.5080 52.3157 ... 0.011 Ia-norm 1 ... ... ...
ASASSN 14lp 2014−12−09 191.2880 0.4590 0.0052 0.014 Ia-norm 15 −0.8 175.1 9
Gaia 15aba 2015−02−06 240.8760 52.2607 0.0460†(d) 0.015 Ia-norm 1 ... ... ...
Gaia 15abu 2015−02−09 256.2090 41.0179 0.0750†(d) 0.024 Ia-norm 1 ... ... ...
SNHunt 276 2015−02−10 177.4950 21.3172 0.0261 0.025 Ia-91bg 1 ... ... ...
SN 2015H 2015−02−10 163.6760 −21.0705 0.0125 0.047 Iax 1 ... ... ...
Gaia 15aby 2015−02−11 214.8040 10.7169 0.0790†(d) 0.026 Ia-norm 1 ... ... ...
PSN J13471211−2422171 2015−02−12 206.8000 −24.3714 0.0190 0.064 Ia-norm 1 ... ... ...
ASASSN 15db 2015−02−15 236.7450 17.8840 0.0113 0.029 Ia-norm 1 ... ... ...
SNHunt 281 2015−03−16 226.3670 1.6350 0.0041 0.045 Ia-norm 3 −5.3 20.5 10
ASASSN 15fr 2015−03−24 140.0850 −7.6408 0.0334†(d) 0.033 Ia-norm 1 ... ... ...
ASASSN 15hy 2015−04−25 302.5100 0.7392 0.0250†(d) 0.105 Ia-norm 12 −13.4 152.2 3
ASASSN 15jm 2015−05−19 260.2880 25.5821 ... 0.056 Ia-csm 1 ... ... ...
iPTF 15awr 2015−05−25 225.3300 16.7800 ... 0.036 Ia-norm 1 ... ... ...
ASASSN 15kx 2015−06−10 334.0490 37.4739 0.0182 0.141 Ia-norm 3 31.3 121.3 3
ASASSN 15lo 2015−06−19 343.3910 19.7084 ... 0.056 Ia-norm 1 ... ... ...
ASASSN 15lu 2015−06−20 200.3040 40.2658 0.0350 0.014 Ia-norm 1 −2.2 ... 3
ASASSN 15mc 2015−07−05 42.2482 3.1696 0.0138 0.052 Ia-norm 3 ... ... ...
SN 2015N 2015−07−06 325.8200 43.5799 0.0149 0.456 Ia-norm 11 −5.3 82.2 1
ASASSN 15mi 2015−07−06 210.8160 41.6040 0.0344†(d) 0.018 Ia-99aa 1 2.0 ... 3
ASASSN 15mg 2015−07−09 233.0950 41.8499 0.0428†(d) 0.028 Ia-norm 8 −0.7 83.3 3
ASASSN 15mp 2015−07−17 14.6886 −14.0699 0.0370†(d) 0.020 Ia-99aa 1 ... ... ...
SN 2015ac 2015−07−28 349.1810 33.9966 0.0168 0.062 Ia 1 ... ... ...
ASASSN 15ns 2015−08−06 250.1170 39.3202 0.0307 0.011 Ia 1 ... ... ...
ASASSN 15og 2015−08−13 50.2810 −31.3127 0.0681†(d) 0.011 Ia-csm 7 ... ... ...
PS 15cut 2015−09−10 358.1550 14.5526 0.0266 0.036 Ia-norm 1 ... ... ...
PSN J02524671+4656470 2015−09−12 43.1946 46.9464 0.0281 0.170 Ia-norm 1 ... ... ...
ASASSN 15pr 2015−09−13 346.6650 −12.5729 0.0331†(d) 0.029 Ia-norm 1 31.2 ... 3
ASASSN 15qc 2015−10−01 9.8249 3.9500 0.0176 0.022 Ia-norm 1 ... ... ...
MOT J041227.87+342902.0 2015−10−06 63.1161 34.4839 0.0214 0.312 Ia-norm 1 ... ... ...
PS 15cku 2015−10−16 21.0939 3.5876 0.0230†(d) 0.023 Ia-norm 1 −3.8 ... 3
ASASSN 15rm 2015−10−19 94.0160 −16.8249 0.0208 0.147 Ia-norm 1 ... ... ...
ASASSN 15rw 2015−10−24 33.9923 12.2374 0.0189†(d) 0.118 Ia-norm 1 15.6 ... 3
ASASSN 15sf 2015−10−30 2.8650 −6.4273 0.0270†(d) 0.026 Ia-norm 2 3.9 10.6 3
PS 16ud 2015−11−01 166.7820 −5.3789 0.0373 0.063 Ia-norm 1 ... ... ...
ASASSN 15so 2015−11−08 168.5460 48.3187 0.0067 0.013 Ia-norm 2 −7.7 27.0 3
PSN J09100885+5003396 2015−11−08 137.5370 50.0610 0.0343 0.017 Ia-norm 7 ... ... ...
PS 15cwx 2015−11−17 78.6992 7.0504 0.0460†(d) 0.149 Ia-99aa 1 −3.0 ... 3
SN 2015bd 2015−12−07 170.9410 −1.1059 0.0187 0.046 Ia-norm 5 ... ... ...
PSN J12265018+1615496 2015−12−07 186.7090 16.2638 0.0455†(d) 0.021 Ia-norm 1 ... ... ...
ASASSN 15ub 2015−12−14 166.8040 65.0995 0.0320†(d) 0.014 Ia-norm 2 ... ... ...
SN 2016F 2016−01−04 24.8835 33.8267 0.0161†(d) 0.042 Ia 1 22.3 ... 3
SN 2016zc 2016−01−28 211.4880 43.8839 0.0337†(d) 0.006 Ia-norm 1 ... ... ...
SN 2016aqt 2016−02−28 206.4610 26.7965 ... 0.015 Ia-norm 3 ... ... 3
SN 2016blh 2016−03−31 212.4190 0.6567 0.0238†(t) 0.032 Ia-norm 1 1.4 ... 3
SN 2016bln 2016−04−04 203.6900 13.8540 0.0233 0.025 Ia-norm 3 −4.0 24.2 3
SN 2016bsa 2016−04−22 331.1480 42.3257 0.0143 0.273 Ia-norm 1 ... ... ...
SN 2016ccj 2016−05−03 257.6000 26.3966 0.0418†(d) 0.029 Ia-norm 1 110.5 ... 3
SN 2016cmn 2016−05−20 277.5100 39.9655 0.0183 0.053 Ia-norm 1 ... ... ...
SN 2016coj 2016−05−28 182.0280 65.1773 0.0045 0.016 Ia-norm 20 −11.4 147.1 1
SN 2016flv 2016−08−27 341.3750 −7.3353 0.0530†(t) 0.035 Ia-norm 2 ... ... ...
SN 2016hvl 2016−11−04 101.0090 12.3966 0.0130†(t) 0.377 Ia 2 16.6 104.5 1
SN 2016ije 2016−11−22 29.6264 12.9244 ... 0.045 Ia-91bg 1 ... ... ...
SN 2017cfd 2017−03−16 130.2050 73.4875 0.0119 0.019 Ia-norm 4 3.9 61.1 1
SN 2017drh 2017−05−03 263.1090 7.0632 0.0056 0.106 Ia-norm 7 2.5 101.9 1
SN 2017dws 2017−05−03 235.0590 11.3449 0.0818†(t) 0.035 Ia-norm 1 7.7 ... 1
SN 2017dwp 2017−05−04 187.9320 36.2097 0.0334 0.010 Ia* 3 ... ... ...
SN 2017erp 2017−06−13 227.3120 −11.3342 0.0063 0.093 Ia-norm 16 −9.6 75.8 1
SN 2017fgc 2017−07−11 20.0602 3.4028 0.0081 0.029 Ia-norm 11 −3.3 99.8 1
SN 2017glx 2017−09−03 295.9180 56.1101 0.0114 0.107 Ia-norm 4 2.0 41.5 1
SN 2017hbi 2017−10−02 38.1315 35.4836 ... 0.061 Ia-norm 5 ... ... 1
SN 2017hou 2017−10−24 62.2589 −1.1601 0.0167 0.108 Ia-norm 3 ... ... ...
SN 2017hpa 2017−10−25 69.9615 7.0652 0.0156 0.154 Ia-norm 5 ... ... ...
SN 2017igr 2017−11−18 64.6815 26.9314 0.0250 0.571 Ia 1 ... ... ...
SN 2017iji 2017−11−20 183.1130 29.1493 0.0135 0.018 Ia-norm 3 ... ... ...
SN 2017iws 2017−12−12 130.6730 13.9678 0.0910†(w) 0.027 Ia-norm 1 ... ... ...
SN 2017ixg 2017−12−14 350.1270 24.7776 0.0277†(w) 0.076 Ia-norm 2 ... ... ...
SN 2018gl 2018−01−13 149.5260 10.3594 0.0180 0.033 Ia-norm 1 ... ... ...
SN 2018gv 2018−01−15 121.3940 −11.4379 0.0053 0.050 Ia-norm 1 8.7 ... 1
SN 2018pc 2018−02−03 142.2300 49.2381 0.0090 0.012 Ia-norm 1 ... ... ...
SN 2018pv 2018−02−03 178.2320 36.9866 0.0031 0.018 Ia 1 ... ... ...
SN 2018oh 2018−02−04 136.6650 19.3383 0.0110 0.039 Ia-norm 1 ... ... ...
SN 2018aae 2018−02−06 185.3920 55.5743 0.0290†(d) 0.010 Ia-norm 1 ... ... ...
SN 2018aoz 2018−04−02 177.7580 −28.7441 0.0058 0.072 Ia-norm 1 37.7 ... 1
SN 2018bsn 2018−05−14 224.3700 5.8425 0.0590 0.031 Ia-norm 1 ... ... ...
SN 2018cni 2018−06−13 225.3450 −10.1805 0.0320†(t) 0.087 Iax 1 ... ... ...
SN 2018eqq 2018−08−03 46.7298 41.5091 0.0160†(t) 0.127 Ia 1 ... ... ...
SN 2018feb 2018−08−16 257.5470 21.6490 0.0148†(t) 0.052 Ia-norm 6 ... ... ...
SN 2018hfp 2018−10−07 314.9490 −16.6369 0.0291 0.063 Ia-norm 3 ... ... ...
SN 2018hfr 2018−10−10 142.7300 −4.5712 0.0226 0.024 Ia-91T 3 ... ... ...
SN 2018hhn 2018−10−13 343.1340 11.6741 0.0288 0.061 Ia-norm 3 ... ... ...
SN 2018htt 2018−10−31 46.5121 −15.6116 0.0087†(t) 0.032 Ia-norm 1 ... ... ...
SN 2018hzg 2018−11−06 175.5980 10.2644 0.0216 0.049 Ia 1 ... ... ...
SN 2018jaz 2018−11−20 204.8340 34.6888 0.0231†(t) 0.009 Ia 1 ... ... ...
